,user_id,date,call,sms,traffic
0,0,2022-01-01,529,414,232
1,0,2022-01-02,151,357,429
2,0,2022-01-03,295,376,301
3,0,2022-01-04,650,279,147
4,0,2022-01-05,521,430,734
5,1,2022-01-01,331,179,240
6,1,2022-01-02,506,325,257
7,1,2022-01-03,504,250,283
8,1,2022-01-04,150,142,355
9,1,2022-01-05,292,335,181
10,2,2022-01-01,390,204,615
11,2,2022-01-02,370,310,397
12,2,2022-01-03,275,212,300
13,2,2022-01-04,283,497,302
14,2,2022-01-05,411,177,645
15,3,2022-01-01,491,246,349
16,3,2022-01-02,239,538,243
17,3,2022-01-03,410,547,334
18,3,2022-01-04,172,574,500
19,3,2022-01-05,369,297,408
20,4,2022-01-01,283,636,148
21,4,2022-01-02,360,553,495
22,4,2022-01-03,378,134,524
23,4,2022-01-04,403,329,159
24,4,2022-01-05,135,367,500
25,5,2022-01-01,514,116,247
26,5,2022-01-02,209,412,412
27,5,2022-01-03,316,310,86
28,5,2022-01-04,445,251,222
29,5,2022-01-05,567,463,35
30,6,2022-01-01,432,110,245
31,6,2022-01-02,194,257,260
32,6,2022-01-03,376,202,252
33,6,2022-01-04,299,553,418
34,6,2022-01-05,763,502,289
35,7,2022-01-01,507,602,324
36,7,2022-01-02,213,531,244
37,7,2022-01-03,305,288,241
38,7,2022-01-04,450,412,337
39,7,2022-01-05,441,254,184
40,8,2022-01-01,300,237,289
41,8,2022-01-02,398,188,183
42,8,2022-01-03,381,376,327
43,8,2022-01-04,597,241,507
44,8,2022-01-05,541,260,366
45,9,2022-01-01,311,357,235
46,9,2022-01-02,352,191,310
47,9,2022-01-03,350,154,385
48,9,2022-01-04,294,197,285
49,9,2022-01-05,428,428,183
50,10,2022-01-01,312,262,331
51,10,2022-01-02,354,158,388
52,10,2022-01-03,209,143,349
53,10,2022-01-04,178,294,340
54,10,2022-01-05,340,176,510
55,11,2022-01-01,152,460,256
56,11,2022-01-02,434,144,472
57,11,2022-01-03,325,330,299
58,11,2022-01-04,435,80,464
59,11,2022-01-05,448,154,201
60,12,2022-01-01,105,394,504
61,12,2022-01-02,554,287,332
62,12,2022-01-03,211,403,223
63,12,2022-01-04,388,501,362
64,12,2022-01-05,126,529,543
65,13,2022-01-01,246,167,199
66,13,2022-01-02,291,303,441
67,13,2022-01-03,235,137,58
68,13,2022-01-04,442,437,661
69,13,2022-01-05,440,381,265
70,14,2022-01-01,420,286,720
71,14,2022-01-02,61,301,449
72,14,2022-01-03,255,147,320
73,14,2022-01-04,125,540,257
74,14,2022-01-05,391,461,197
75,15,2022-01-01,228,333,311
76,15,2022-01-02,278,217,119
77,15,2022-01-03,161,517,195
78,15,2022-01-04,320,266,262
79,15,2022-01-05,186,473,269
80,16,2022-01-01,423,703,85
81,16,2022-01-02,356,363,60
82,16,2022-01-03,458,331,598
83,16,2022-01-04,302,201,276
84,16,2022-01-05,671,285,470
85,17,2022-01-01,203,583,299
